Country,Country_ID,City,IndicatorCode,Continent,Date,Prevalence,Disease_ID,Continent_Name,City_URL
Syrian Arab Republic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17182,,https://w3id.org/ohboi#P243,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2000,0.061,http://purl.obolibrary.org/obo/DOID_3199,Asia,
Tajikistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17183,,https://w3id.org/ohboi#P59,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.104,http://purl.obolibrary.org/obo/DOID_3015,Europe,
Tajikistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17183,,https://w3id.org/ohboi#P209,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.382,http://purl.obolibrary.org/obo/DOID_3165,Europe,
Thailand,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17192,,https://w3id.org/ohboi#P30,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2020,0.182,http://purl.obolibrary.org/obo/DOID_2986,Asia,
The former Yugoslav Republic of Macedonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17654,,https://w3id.org/ohboi#P12,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2021,0.014,http://purl.obolibrary.org/obo/DOID_2968,Europe,
The former Yugoslav Republic of Macedonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17654,,https://w3id.org/ohboi#P93,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2018,0.017,http://purl.obolibrary.org/obo/DOID_3049,Europe,
The former Yugoslav Republic of Macedonia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17654,,https://w3id.org/ohboi#P242,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.078,http://purl.obolibrary.org/obo/DOID_3198,Europe,
Togo,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17202,,https://w3id.org/ohboi#P119,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2008,0.153,http://purl.obolibrary.org/obo/DOID_3075,Africa,
Tonga,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17205,,https://w3id.org/ohboi#P154,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2003,0.02,http://purl.obolibrary.org/obo/DOID_3110,Asia,
Trinidad and Tobago,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17217,,https://w3id.org/ohboi#P41,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2020,0.019,http://purl.obolibrary.org/obo/DOID_2997,America,
Trinidad and Tobago,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17217,,https://w3id.org/ohboi#P193,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2000,0.02,http://purl.obolibrary.org/obo/DOID_3149,America,
Turkey,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17222,,https://w3id.org/ohboi#P36,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2020,0.018,http://purl.obolibrary.org/obo/DOID_2992,Europe,
Turkey,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17222,,https://w3id.org/ohboi#P96,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2010,0.032,http://purl.obolibrary.org/obo/DOID_3052,Europe,
Turkey,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17222,,https://w3id.org/ohboi#P226,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.044,http://purl.obolibrary.org/obo/DOID_3182,Europe,
Turkmenistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17223,,https://w3id.org/ohboi#P123,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2006,0.127,http://purl.obolibrary.org/obo/DOID_3079,Europe,
Tuvalu,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17225,,https://w3id.org/ohboi#P205,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2000,0.216,http://purl.obolibrary.org/obo/DOID_3161,Australia,
Uganda,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17228,,https://w3id.org/ohboi#P172,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2002,0.39,http://purl.obolibrary.org/obo/DOID_3128,Africa,
Ukraine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17229,,https://w3id.org/ohboi#P52,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.11,http://purl.obolibrary.org/obo/DOID_3008,Europe,
United Arab Emirates,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17232,,https://w3id.org/ohboi#P5,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2021,0.00095,http://purl.obolibrary.org/obo/DOID_2961,Asia,
United Arab Emirates,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17232,,https://w3id.org/ohboi#P26,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2020,0.00089,http://purl.obolibrary.org/obo/DOID_2982,Asia,
United Arab Emirates,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17232,,https://w3id.org/ohboi#P74,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2018,0.0012,http://purl.obolibrary.org/obo/DOID_3030,Asia,
United Kingdom of Great Britain and Northern Ireland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17233,,https://w3id.org/ohboi#P54,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.0089,http://purl.obolibrary.org/obo/DOID_3010,Europe,
United Kingdom of Great Britain and Northern Ireland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17233,,https://w3id.org/ohboi#P134,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2003,0.015,http://purl.obolibrary.org/obo/DOID_3090,Europe,
Uruguay,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17244,,https://w3id.org/ohboi#P167,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2002,0.022,http://purl.obolibrary.org/obo/DOID_3123,America,
Uzbekistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17246,,https://w3id.org/ohboi#P47,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.091,http://purl.obolibrary.org/obo/DOID_3003,Europe,
Uzbekistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17246,,https://w3id.org/ohboi#P128,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2004,0.215,http://purl.obolibrary.org/obo/DOID_3084,Europe,
Uzbekistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17246,,https://w3id.org/ohboi#P259,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.163,http://purl.obolibrary.org/obo/DOID_3215,Europe,
Vanuatu,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17247,,https://w3id.org/ohboi#P116,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2008,0.135,http://purl.obolibrary.org/obo/DOID_3072,Australia,
Vanuatu,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17247,,https://w3id.org/ohboi#P120,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2006,0.12,http://purl.obolibrary.org/obo/DOID_3076,Australia,
Venezuela (Bolivarian Republic of),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17250,,https://w3id.org/ohboi#P228,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2000,0.04,http://purl.obolibrary.org/obo/DOID_3184,America,
Viet Nam,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17252,,https://w3id.org/ohboi#P43,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2020,0.244,http://purl.obolibrary.org/obo/DOID_2999,Australia,
Viet Nam,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17252,,https://w3id.org/ohboi#P178,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2002,0.563,http://purl.obolibrary.org/obo/DOID_3134,Asia,
Viet Nam,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17252,,https://w3id.org/ohboi#P217,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2000,0.624,http://purl.obolibrary.org/obo/DOID_3173,Asia,
